NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,RapportExprimes,RapportInscrits
BAREGES,Brigitte,Mme,UMP,Union pour un Mouvement Populaire,27222,"  50,81","  33,18",oui,08201,50.81,33.18
PINEL,Sylvia,Mme,RDG,Radical de gauche,26811,"  50,71","  31,76",oui,08202,50.71,31.76
BRIAT,Jacques,M.,UMP,Union pour un Mouvement Populaire,26062,"  49,29","  30,87",non,08202,49.29,30.87
COUVE,Jean-Michel,M.,UMP,Union pour un Mouvement Populaire,43047,"  65,98","  35,45",oui,08304,65.98,35.45
PINEAU,Michel,M.,SOC,Socialiste,22200,"  34,02","  18,28",non,08304,34.02,18.28
ROIG,Marie-Josée,Mme,UMP,Union pour un Mouvement Populaire,22479,"  56,71","  31,41",oui,08401,56.71,31.41
FOURNIER-ARMAND,Michèle,Mme,SOC,Socialiste,17160,"  43,29","  23,98",non,08401,43.29,23.98
JOSEPH,Jean-Louis,M.,SOC,Socialiste,31970,"  44,72","  26,48",non,08402,44.72,26.48
BOUCHET,Jean-Claude,M.,UMP,Union pour un Mouvement Populaire,39523,"  55,28","  32,74",oui,08402,55.28,32.74
PERIS,Nadine,Mme,SOC,Socialiste,19660,"  35,53","  20,20",non,08403,35.53,20.2
FERRAND,Jean-Michel,M.,UMP,Union pour un Mouvement Populaire,35680,"  64,47","  36,66",oui,08403,64.47,36.66
MEFFRE,Pierre,M.,SOC,Socialiste,18835,"  39,82","  22,73",non,08404,39.82,22.73
MARIANI,Thierry,M.,UMP,Union pour un Mouvement Populaire,28462,"  60,18","  34,35",oui,08404,60.18,34.35
PREEL,Jean-Luc,M.,MAJ,Majorité présidentielle,29055,"  56,89","  30,46",oui,08501,56.89,30.46
CEREIJO,Patricia,Mme,SOC,Socialiste,22014,"  43,11","  23,08",non,08501,43.11,23.08
BULTEAU,Sylviane,Mme,SOC,Socialiste,24263,"  45,22","  26,43",non,08502,45.22,26.43
CAILLAUD,Dominique,M.,UMP,Union pour un Mouvement Populaire,29393,"  54,78","  32,02",oui,08502,54.78,32.02
CLAEYS,Alain,M.,SOC,Socialiste,29549,"  59,10","  35,64",oui,08601,59.1,35.64
DAIGRE,Jacqueline,Mme,UMP,Union pour un Mouvement Populaire,20450,"  40,90","  24,67",non,08601,40.9,24.67
CHAMARD,Jean-Yves,M.,UMP,Union pour un Mouvement Populaire,20699,"  44,94","  28,17",non,08602,44.94,28.17
COUTELLE,Catherine,Mme,SOC,Socialiste,25358,"  55,06","  34,51",oui,08602,55.06,34.51
HERBERT,Gérard,M.,UMP,Union pour un Mouvement Populaire,21526,"  49,91","  31,78",non,08603,49.91,31.78
CLEMENT,Jean-Michel,M.,SOC,Socialiste,21604,"  50,09","  31,89",oui,08603,50.09,31.89
ABELIN,Jean-Pierre,M.,MAJ,Majorité présidentielle,24282,"  56,62","  31,99",oui,08604,56.62,31.99
TONDUSSON,Brigitte,Mme,SOC,Socialiste,18605,"  43,38","  24,51",non,08604,43.38,24.51
BOULESTIN,Monique,Mme,SOC,Socialiste,18218,"  53,09","  33,56",oui,08701,53.09,33.56
MARSAUD,Alain,M.,UMP,Union pour un Mouvement Populaire,16095,"  46,91","  29,65",non,08701,46.91,29.65
BOISSERIE,Daniel,M.,SOC,Socialiste,30149,"  60,89","  40,74",oui,08702,60.89,40.74
GUILHEM,Evelyne,Mme,UMP,Union pour un Mouvement Populaire,19364,"  39,11","  26,16",non,08702,39.11,26.16
PEROL-DUMONT,Marie-Françoise,Mme,SOC,Socialiste,26631,"  62,33","  40,19",oui,08703,62.33,40.19
MARTINEAU,Béatrice,Mme,UMP,Union pour un Mouvement Populaire,16093,"  37,67","  24,28",non,08703,37.67,24.28
RODET,Alain,M.,SOC,Socialiste,29341,"  65,90","  40,74",oui,08704,65.9,40.74
GENTIL,Sarah,Mme,UMP,Union pour un Mouvement Populaire,15183,"  34,10","  21,08",non,08704,34.1,21.08
PIERRET,Christian,M.,SOC,Socialiste,18566,"  45,01","  24,53",non,08802,45.01,24.53
CHERPION,Gérard,M.,UMP,Union pour un Mouvement Populaire,22685,"  54,99","  29,97",oui,08802,54.99,29.97
GAULTIER,Jean-Jacques,M.,UMP,Union pour un Mouvement Populaire,23347,"  55,72","  33,63",oui,08804,55.72,33.63
FRANQUEVILLE,Christian,M.,SOC,Socialiste,18555,"  44,28","  26,73",non,08804,44.28,26.73
LE CORRE,Mireille,Mme,SOC,Socialiste,20577,"  45,47","  26,00",non,08901,45.47,26.0
SOISSON,Jean-Pierre,M.,UMP,Union pour un Mouvement Populaire,24675,"  54,53","  31,18",oui,08901,54.53,31.18
CAULLET,Jean-Yves,M.,SOC,Socialiste,19932,"  46,18","  26,98",non,08902,46.18,26.98
ROLLAND,Jean-Marie,M.,UMP,Union pour un Mouvement Populaire,23234,"  53,82","  31,45",oui,08902,53.82,31.45
PARIS,Daniel,M.,RDG,Radical de gauche,24290,"  46,97","  26,05",non,08903,46.97,26.05
FORT,Marie-Louise,Mme,UMP,Union pour un Mouvement Populaire,27428,"  53,03","  29,41",oui,08903,53.03,29.41
MESLOT,Damien,M.,UMP,Union pour un Mouvement Populaire,16478,"  58,66","  35,25",oui,09001,58.66,35.25
FORCINAL,Anne-Marie,Mme,SOC,Socialiste,11612,"  41,34","  24,84",non,09001,41.34,24.84
ZUMKELLER,Michel,M.,UMP,Union pour un Mouvement Populaire,15701,"  54,48","  33,06",oui,09002,54.48,33.06
CHEVÈNEMENT,Jean-Pierre,M.,DVG,Divers gauche,13119,"  45,52","  27,62",non,09002,45.52,27.62
VALLS,Manuel,M.,SOC,Socialiste,21523,"  60,12","  31,95",oui,09101,60.12,31.95
DE OLIVEIRA,Cristela,Mme,UMP,Union pour un Mouvement Populaire,14279,"  39,88","  21,19",non,09101,39.88,21.19
COLOT,Geneviève,Mme,UMP,Union pour un Mouvement Populaire,29240,"  54,58","  31,25",oui,09103,54.58,31.25
ZINS,Brigitte,Mme,SOC,Socialiste,24336,"  45,42","  26,01",non,09103,45.42,26.01
KOSCIUSKO-MORIZET,Nathalie,Mme,UMP,Union pour un Mouvement Populaire,27576,"  56,09","  32,58",oui,09104,56.09,32.58
THOMAS,Olivier,M.,SOC,Socialiste,21591,"  43,91","  25,51",non,09104,43.91,25.51
OLIVIER,Maud,Mme,SOC,Socialiste,20016,"  49,75","  30,44",non,09105,49.75,30.44
LASBORDES,Pierre,M.,UMP,Union pour un Mouvement Populaire,20216,"  50,25","  30,75",oui,09105,50.25,30.75
LAMY,François,M.,SOC,Socialiste,22913,"  52,64","  31,37",oui,09106,52.64,31.37
CARANTOIS,Véronique,Mme,UMP,Union pour un Mouvement Populaire,20615,"  47,36","  28,22",non,09106,47.36,28.22
MARSAUDON,Jean,M.,UMP,Union pour un Mouvement Populaire,20523,"  52,04","  28,55",oui,09107,52.04,28.55
MATHIEU,Simone,Mme,SOC,Socialiste,18917,"  47,96","  26,31",non,09107,47.96,26.31
MANDON,Thierry,M.,SOC,Socialiste,18542,"  44,22","  25,00",non,09109,44.22,25.0
TRON,Georges,M.,UMP,Union pour un Mouvement Populaire,23391,"  55,78","  31,54",oui,09109,55.78,31.54
GAUDIN,Laurence,Mme,UMP,Union pour un Mouvement Populaire,15819,"  46,52","  26,03",non,09110,46.52,26.03
DRAY,Julien,M.,SOC,Socialiste,18183,"  53,48","  29,92",oui,09110,53.48,29.92
MUZEAU,Roland,M.,COM,Communiste,17861,"  63,54","  30,13",oui,09201,63.54,30.13
VIGNON,Véronique,Mme,UMP,Union pour un Mouvement Populaire,10249,"  36,46","  17,28",non,09201,36.46,17.28
AESCHLIMANN,Manuel,M.,UMP,Union pour un Mouvement Populaire,18322,"  56,19","  29,34",oui,09202,56.19,29.34
ETCHEBERRY,Michèle,Mme,SOC,Socialiste,14286,"  43,81","  22,88",non,09202,43.81,22.88
DUPUY,Christian,M.,UMP,Union pour un Mouvement Populaire,16723,"  45,56","  24,84",non,09204,45.56,24.84
FRAYSSE,Jacqueline,Mme,COM,Communiste,19985,"  54,44","  29,69",oui,09204,54.44,29.69
CATOIRE,Gilles,M.,SOC,Socialiste,15773,"  44,75","  23,10",non,09205,44.75,23.1
BALKANY,Patrick,M.,UMP,Union pour un Mouvement Populaire,19476,"  55,25","  28,52",oui,09205,55.25,28.52
SCHMID,Lucille,Mme,SOC,Socialiste,16366,"  44,10","  24,61",non,09210,44.1,24.61
SANTINI,André,M.,MAJ,Majorité présidentielle,20741,"  55,90","  31,19",oui,09210,55.9,31.19
AMIABLE,Marie-Hélène,Mme,COM,Communiste,22016,"  58,58","  33,56",oui,09211,58.58,33.56
METTON,Jean-Loup,M.,MAJ,Majorité présidentielle,15570,"  41,42","  23,73",non,09211,41.42,23.73
KALTENBACH,Philippe,M.,SOC,Socialiste,24682,"  47,10","  28,76",non,09212,47.1,28.76
PEMEZEC,Philippe,M.,UMP,Union pour un Mouvement Populaire,27719,"  52,90","  32,30",oui,09212,52.9,32.3
DEVEDJIAN,Patrick,M.,UMP,Union pour un Mouvement Populaire,27018,"  54,90","  31,72",oui,09213,54.9,31.72
CANET,Michèle,Mme,SOC,Socialiste,22197,"  45,10","  26,06",non,09213,45.1,26.06
LE ROUX,Bruno,M.,SOC,Socialiste,14699,"  62,71","  29,13",oui,09301,62.71,29.13
ESPINASSE,Briggitte,Mme,UMP,Union pour un Mouvement Populaire,8740,"  37,29","  17,32",non,09301,37.29,17.32
BRAOUEZEC,Patrick,M.,COM,Communiste,14472,"  65,00","  28,92",oui,09302,65.0,28.92
NICOL,Evelyne,Mme,UMP,Union pour un Mouvement Populaire,7794,"  35,00","  15,57",non,09302,35.0,15.57
GOLDBERG,Daniel,M.,SOC,Socialiste,12121,"  61,52","  26,87",oui,09303,61.52,26.87
HAMZA,Kamel,M.,UMP,Union pour un Mouvement Populaire,7583,"  38,48","  16,81",non,09303,38.48,16.81
MEIGNEN,Thierry,M.,UMP,Union pour un Mouvement Populaire,9702,"  44,05","  21,36",non,09304,44.05,21.36
BUFFET,Marie-George,Mme,COM,Communiste,12324,"  55,95","  27,13",oui,09304,55.95,27.13
SADI,ABDEL,M.,COM,Communiste,10585,"  40,13","  19,88",non,09305,40.13,19.88
LAGARDE,Jean-Christophe,M.,DVD,Divers droite,15795,"  59,87","  29,67",oui,09305,59.87,29.67
DUPONT,Jean-Claude,M.,UMP,Union pour un Mouvement Populaire,10817,"  35,38","  17,73",non,09306,35.38,17.73
BARTOLONE,Claude,M.,SOC,Socialiste,19758,"  64,62","  32,39",oui,09306,64.62,32.39
BRARD,Jean-Pierre,M.,DVG,Divers gauche,11912," 100,00","  23,88",oui,09307,100.0,23.88
POCHON,Elizabeth,Mme,SOC,Socialiste,14261,"  44,31","  23,48",non,09308,44.31,23.48
CALMEJANE,Patrice,M.,UMP,Union pour un Mouvement Populaire,17923,"  55,69","  29,51",oui,09308,55.69,29.51
VINCENT,Georgia,Mme,UMP,Union pour un Mouvement Populaire,10968,"  39,75","  19,83",non,09309,39.75,19.83
GUIGOU,Elisabeth,Mme,SOC,Socialiste,16622,"  60,25","  30,06",oui,09309,60.25,30.06
SEGURA,Gérard,M.,SOC,Socialiste,13473,"  49,02","  25,70",non,09310,49.02,25.7
GAUDRON,Gérard,M.,UMP,Union pour un Mouvement Populaire,14011,"  50,98","  26,72",oui,09310,50.98,26.72
ASENSI,François,M.,COM,Communiste,17464,"  56,75","  29,72",oui,09311,56.75,29.72
VALLETON,Martine,Mme,UMP,Union pour un Mouvement Populaire,13307,"  43,25","  22,65",non,09311,43.25,22.65
POPELIN,Pascal,M.,SOC,Socialiste,15068,"  46,18","  24,36",non,09312,46.18,24.36
RAOULT,Eric,M.,UMP,Union pour un Mouvement Populaire,17564,"  53,82","  28,39",oui,09312,53.82,28.39
PAJON,Michel,M.,SOC,Socialiste,20520,"  54,79","  29,49",oui,09313,54.79,29.49
DEMUYNCK,Elizabeth,Mme,UMP,Union pour un Mouvement Populaire,16930,"  45,21","  24,33",non,09313,45.21,24.33
PLAGNOL,Henri,M.,UMP,Union pour un Mouvement Populaire,15762,"  54,23","  28,72",oui,09401,54.23,28.72
CAVADA,Jean-Marie,M.,UDFD,UDF-Mouvement Démocrate,13305,"  45,77","  24,24",non,09401,45.77,24.24
CATHALA,Laurent,M.,SOC,Socialiste,19690,"  60,19","  30,54",oui,09402,60.19,30.54
BARON,Monique,Mme,UMP,Union pour un Mouvement Populaire,13025,"  39,81","  20,20",non,09402,39.81,20.2
SCHWARTZENBERG,Roger-Gérard,M.,RDG,Radical de gauche,18171,"  49,80","  26,46",non,09403,49.8,26.46
GONZALES,Didier,M.,UMP,Union pour un Mouvement Populaire,18319,"  50,20","  26,67",oui,09403,50.2,26.67
BENISTI,Jacques-Alain,M.,UMP,Union pour un Mouvement Populaire,21219,"  56,61","  30,19",oui,09404,56.61,30.19
ABRAHAM-THISSE,Simone,Mme,SOC,Socialiste,16266,"  43,39","  23,15",non,09404,43.39,23.15
ADENOT,Dominique,M.,COM,Communiste,14404,"  44,39","  23,24",non,09405,44.39,23.24
CARREZ,Gilles,M.,UMP,Union pour un Mouvement Populaire,18044,"  55,61","  29,11",oui,09405,55.61,29.11
DORNBUSCH,David,M.,SOC,Socialiste,19719,"  46,36","  25,31",non,09406,46.36,25.31
BEAUDOUIN,Patrick,M.,UMP,Union pour un Mouvement Populaire,22816,"  53,64","  29,28",oui,09406,53.64,29.28
MONTCHAMP,Marie-Anne,Mme,UMP,Union pour un Mouvement Populaire,18595,"  58,45","  31,58",oui,09407,58.45,31.58
JOUBERT,Monique,Mme,SOC,Socialiste,13221,"  41,55","  22,45",non,09407,41.55,22.45
ROUQUET,René,M.,SOC,Socialiste,16390,"  64,99","  31,64",oui,09409,64.99,31.64
NJOH,Emmanuel,M.,UMP,Union pour un Mouvement Populaire,8830,"  35,01","  17,04",non,09409,35.01,17.04
GOSNAT,Pierre,M.,COM,Communiste,19708,"  64,70","  32,23",oui,09410,64.7,32.23
BACHSCHMIDT,Philippe,M.,UMP,Union pour un Mouvement Populaire,10754,"  35,30","  17,58",non,09410,35.3,17.58
PINON,Sophie,Mme,UMP,Union pour un Mouvement Populaire,11332,"  37,21","  19,64",non,09411,37.21,19.64
LE BOUILLONNEC,Jean-Yves,M.,SOC,Socialiste,19126,"  62,79","  33,16",oui,09411,62.79,33.16
SEVE,Patrick,M.,SOC,Socialiste,17723,"  49,46","  27,46",non,09412,49.46,27.46
DELL'AGNOLA,Richard,M.,UMP,Union pour un Mouvement Populaire,18109,"  50,54","  28,06",oui,09412,50.54,28.06
HOUILLON,Philippe,M.,UMP,Union pour un Mouvement Populaire,25358,"  58,64","  32,94",oui,09501,58.64,32.94
DROLON,Corine,Mme,SOC,Socialiste,17884,"  41,36","  23,23",non,09501,41.36,23.23
PONIATOWSKI,Axel,M.,UMP,Union pour un Mouvement Populaire,33270,"  53,08","  28,94",oui,09502,53.08,28.94
LEFEBVRE,Dominique,M.,SOC,Socialiste,29408,"  46,92","  25,58",non,09502,46.92,25.58
LEON,Nelly,Mme,SOC,Socialiste,20632,"  45,97","  24,58",non,09503,45.97,24.58
BARDET,Jean,M.,UMP,Union pour un Mouvement Populaire,24246,"  54,03","  28,88",oui,09503,54.03,28.88
BODIN,Claude,M.,UMP,Union pour un Mouvement Populaire,21491,"  54,94","  29,90",oui,09504,54.94,29.9
SEBAOUN,Gérard,M.,SOC,Socialiste,17626,"  45,06","  24,52",non,09504,45.06,24.52
MOTHRON,Georges,M.,UMP,Union pour un Mouvement Populaire,16983,"  51,01","  26,50",oui,09505,51.01,26.5
LAMDAOUI,Faouzi,M.,SOC,Socialiste,16309,"  48,99","  25,45",non,09505,48.99,25.45
SCELLIER,François,M.,UMP,Union pour un Mouvement Populaire,21836,"  58,09","  30,09",oui,09506,58.09,30.09
GEORGELIN,Marie-Paule,Mme,SOC,Socialiste,15752,"  41,91","  21,71",non,09506,41.91,21.71
ARNAL,Didier,M.,SOC,Socialiste,18693,"  43,22","  23,11",non,09507,43.22,23.11
CHARTIER,Jérôme,M.,UMP,Union pour un Mouvement Populaire,24553,"  56,78","  30,36",oui,09507,56.78,30.36
NOACHOVITCH,Sylvie,Mme,UMP,Union pour un Mouvement Populaire,11363,"  44,53","  23,26",non,09508,44.53,23.26
STRAUSS KAHN,Dominique,M.,SOC,Socialiste,14154,"  55,47","  28,98",oui,09508,55.47,28.98
BLAZY,Jean-Pierre,M.,SOC,Socialiste,16761,"  49,57","  25,64",non,09509,49.57,25.64
PATERNOTTE,Yanick,M.,UMP,Union pour un Mouvement Populaire,17051,"  50,43","  26,08",oui,09509,50.43,26.08
JALTON,Eric,M.,DVG,Divers gauche,14453,"  62,71","  23,15",oui,97101,62.71,23.15
JERPAN,Josette,Mme,DVD,Divers droite,8596,"  37,29","  13,76",non,97101,37.29,13.76
MOUTOUSSAMY,Ernest,M.,DVG,Divers gauche,16234,"  45,13","  18,35",non,97102,45.13,18.35
LOUIS-CARABIN,Gabrielle,Mme,UMP,Union pour un Mouvement Populaire,19736,"  54,87","  22,30",oui,97102,54.87,22.3
MARC ,Jeanny,Mme,DVG,Divers gauche,18061,"  58,11","  22,05",oui,97103,58.11,22.05
BEAUGENDRE,Joël,M.,UMP,Union pour un Mouvement Populaire,13022,"  41,89","  15,90",non,97103,41.89,15.9
DORVILLE,Albert,M.,DIV,Divers,14279,"  47,42","  20,19",non,97104,47.42,20.19
LUREL,Victorin,M.,SOC,Socialiste,15830,"  52,58","  22,38",oui,97104,52.58,22.38
MANSCOUR,Louis-Joseph,M.,SOC,Socialiste,14151,"  55,02","  23,29",oui,97201,55.02,23.29
MONPLAISIR,Yan Anselme,M.,UMP,Union pour un Mouvement Populaire,11569,"  44,98","  19,04",non,97201,44.98,19.04
ALMONT,Alfred,M.,UMP,Union pour un Mouvement Populaire,13268,"  51,83","  21,49",oui,97202,51.83,21.49
CONCONNE,Catherine,Mme,DVG,Divers gauche,12332,"  48,17","  19,97",non,97202,48.17,19.97
LETCHIMY,Serge,M.,DVG,Divers gauche,16055,"  67,77","  25,78",oui,97203,67.77,25.78
EDMOND-MARIETTE,Philippe,M.,DVG,Divers gauche,7636,"  32,23","  12,26",non,97203,32.23,12.26
LESUEUR,André,M.,UMP,Union pour un Mouvement Populaire,12289,"  31,54","  11,87",non,97204,31.54,11.87
MARIE-JEANNE,Alfred,M.,REG,Régionaliste,26673,"  68,46","  25,76",oui,97204,68.46,25.76
BUDOC,Rémy-Louis,M.,UMP,Union pour un Mouvement Populaire,3286,"  36,59","  14,72",non,97301,36.59,14.72
TAUBIRA,Christiane,Mme,DVG,Divers gauche,5695,"  63,41","  25,51",oui,97301,63.41,25.51
BERTHELOT,Chantal,Mme,DVG,Divers gauche,9012,"  52,87","  22,25",oui,97302,52.87,22.25
BERTRAND,LEON,M.,UMP,Union pour un Mouvement Populaire,8034,"  47,13","  19,84",non,97302,47.13,19.84
ANNETTE,Gilbert,M.,SOC,Socialiste,20951,"  48,54","  24,98",non,97401,48.54,24.98
VICTORIA,René-Paul,M.,UMP,Union pour un Mouvement Populaire,22207,"  51,46","  26,48",oui,97401,51.46,26.48
BELLO,Huguette,Mme,DVG,Divers gauche,34911,"  59,61","  32,27",oui,97402,59.61,32.27
BENARD,Alain,M.,DVD,Divers droite,23657,"  40,39","  21,87",non,97402,40.39,21.87
ROBERT,Didier,M.,UMP,Union pour un Mouvement Populaire,48822,"  62,42","  38,47",oui,97403,62.42,38.47
VERGES,Paul,M.,DVG,Divers gauche,29396,"  37,58","  23,16",non,97403,37.58,23.16
LEBRETON,Patrick,M.,SOC,Socialiste,34994,"  58,21","  37,29",oui,97404,58.21,37.29
FONTAINE,Michel,M.,UMP,Union pour un Mouvement Populaire,25121,"  41,79","  26,77",non,97404,41.79,26.77
AUDIFAX,Bertho,M.,UMP,Union pour un Mouvement Populaire,22405,"  40,05","  22,36",non,97405,40.05,22.36
FRUTEAU,Jean-Claude,M.,SOC,Socialiste,33543,"  59,95","  33,47",oui,97405,59.95,33.47
ALY,Abdoulatifou,M.,DIV,Divers,18789,"  56,28","  29,03",oui,97601,56.28,29.03
KAMARDINE,Mansour,M.,UMP,Union pour un Mouvement Populaire,14594,"  43,72","  22,55",non,97601,43.72,22.55
YANNO,Gaël,M.,UMP,Union pour un Mouvement Populaire,26732,"  69,21","  38,78",oui,98801,69.21,38.78
WASHETINE,Charles,M.,REG,Régionaliste,11891,"  30,79","  17,25",non,98801,30.79,17.25
FROGIER,Pierre,M.,UMP,Union pour un Mouvement Populaire,25559,"  54,13","  32,79",oui,98802,54.13,32.79
PIDJOT,Charles,M.,REG,Régionaliste,21663,"  45,87","  27,79",non,98802,45.87,27.79
TEMARU,Oscar Manutahi,M.,REG,Régionaliste,27569,"  45,93","  29,38",non,98701,45.93,29.38
BUILLARD,Michel,M.,DVD,Divers droite,32459,"  54,07","  34,60",oui,98701,54.07,34.6
SANDRAS,Bruno,M.,UMP,Union pour un Mouvement Populaire,24707,"  56,94","  33,43",oui,98702,56.94,33.43
FREBAULT,Pierre Aroarii,M.,REG,Régionaliste,18688,"  43,06","  25,28",non,98702,43.06,25.28
GRIGNON,Gérard,M.,UMP,Union pour un Mouvement Populaire,1726,"  48,73","  35,05",non,97501,48.73,35.05
GIRARDIN ,Annick,Mme,RDG,Radical de gauche,1816,"  51,27","  36,88",oui,97501,51.27,36.88
LIKUVALU,Albert,M.,SOC,Socialiste,4152,"  51,79","  37,21",oui,98601,51.79,37.21
BRIAL,Victor,M.,UMP,Union pour un Mouvement Populaire,3865,"  48,21","  34,64",non,98601,48.21,34.64
