CodCirc2,inscrits
01001,86187
01002,99953
01003,82204
01004,94897
01005,77456
02001,72479
02002,73176
02003,66709
02004,78792
02005,83141
03001,89347
03002,80970
03003,80190
04001,61962
04002,66661
05001,59643
05002,54274
06001,82307
06002,89179
06003,91821
06004,85281
06005,91172
06006,80167
06007,97531
06008,84297
06009,81450
07001,79305
07002,96561
07003,80823
08001,70937
08002,60726
08003,55268
09001,57465
09002,62017
10001,64531
10002,75264
10003,66547
11001,98471
11002,92627
11003,89784
12001,78131
12002,69158
12003,72513
13001,81442
13002,83613
13003,75982
13004,64937
13005,73599
13006,78511
13007,67119
13008,102834
13009,100961
13010,109067
13011,92277
13012,94713
13013,94380
13014,99296
13015,109293
13016,91744
14001,72797
14002,68611
14003,79776
14004,104659
14005,92550
14006,96452
15001,63112
15002,52867
16001,83777
16002,83697
16003,90900
17001,110467
17002,112182
17003,84182
17004,94405
17005,119708
18001,71167
18002,68867
18003,84519
19001,92420
19002,93149
21001,70368
21002,71505
21003,72546
21004,68395
21005,85686
22001,91910
22002,103405
22003,88969
22004,81079
22005,107754
23001,91035
24001,77866
24002,84302
24003,67367
24004,89793
25001,76204
25002,79162
25003,64514
25004,65534
25005,84707
26001,77959
26002,95908
26003,110901
26004,99168
27001,86794
27002,79041
27003,85737
27004,92582
27005,89556
28001,91214
28002,75045
28003,71342
28004,67250
29001,92327
29002,79064
29003,93142
29004,84015
29005,97851
29006,91259
29007,83306
29008,91066
2A001,52268
2A002,61842
2B001,61515
2B002,67934
30001,89353
30002,95029
30003,95517
30004,94361
30005,98491
30006,84534
31001,83966
31002,105303
31003,80720
31004,68580
31005,106905
31006,115543
31007,106489
31008,86154
31009,80643
31010,103426
32001,73810
32002,73846
33001,104109
33002,72287
33003,89487
33004,98440
33005,120985
33006,108026
33007,79767
33008,119801
33009,102166
33010,83277
33011,98734
33012,88115
34001,90089
34002,65416
34003,92308
34004,119166
34005,98962
34006,93913
34007,108908
34008,94370
34009,89422
35001,93482
35002,98259
35003,91835
35004,95807
35005,109714
35006,90274
35007,105132
35008,90991
36001,77777
36002,88364
37001,71139
37002,92211
37003,99409
37004,92304
37005,87110
38001,85682
38002,78583
38003,60394
38004,91874
38005,106035
38006,89139
38007,96116
38008,82497
38009,100662
38010,98790
39001,65020
39002,55796
39003,70381
40001,108518
40002,123039
40003,99462
41001,82775
41002,80246
41003,81926
42001,64587
42002,50916
42003,83522
42004,103959
42005,102303
42006,111138
43001,101606
43002,79494
44001,77125
44002,91433
44003,96735
44004,93261
44005,125896
44006,115370
44007,117302
44008,90125
44009,129927
44010,123757
45001,77605
45002,87297
45003,70874
45004,74814
45005,73664
45006,75166
46001,72849
46002,66679
47001,88680
47002,77436
47003,75995
48001,59915
49001,88006
49002,94016
49003,72564
49004,76227
49005,79420
49006,98372
49007,82870
50001,87531
50002,96968
50003,110854
50004,89408
51001,74453
51002,74637
51003,80021
51004,77088
51005,75988
52001,70037
52002,59449
53001,73723
53002,79066
53003,72427
54001,82436
54002,67490
54003,80739
54004,97548
54005,78445
54006,87286
55001,75640
55002,59520
56001,114850
56002,112403
56003,96628
56004,111731
56005,81829
56006,93727
57001,93029
57002,76226
57003,75859
57004,80994
57005,72425
57006,66885
57007,89488
57008,91160
57009,101695
58001,74654
58002,79766
59001,64224
59002,86831
59003,92320
59004,101667
59005,101579
59006,93696
59007,73597
59008,68585
59009,92342
59010,82222
59011,94411
59012,93096
59013,86991
59014,99404
59015,97792
59016,83726
59017,73652
59018,91104
59019,80357
59020,81518
59021,81066
60001,83108
60002,89121
60003,73818
60004,93547
60005,73322
60006,75884
60007,76841
61001,68571
61002,66070
61003,71115
62001,104993
62002,87615
62003,83196
62004,89982
62005,90592
62006,93771
62007,94066
62008,92192
62009,80121
62010,88835
62011,94162
62012,96495
63001,84175
63002,90065
63003,89885
63004,101379
63005,104417
64001,69004
64002,83104
64003,84078
64004,80842
64005,99404
64006,105501
65001,88017
65002,89775
66001,72771
66002,103653
66003,84996
66004,101918
67001,62677
67002,73361
67003,70914
67004,97910
67005,106170
67006,97605
67007,85738
67008,94515
67009,95481
68001,78280
68002,92578
68003,87098
68004,103981
68005,77044
68006,94467
69001,72729
69002,74034
69003,72442
69004,78266
69005,90167
69006,89563
69007,70953
69008,105083
69009,96646
69010,99394
69011,96576
69012,82187
69013,88572
69014,75861
70001,88333
70002,89814
71001,74569
71002,77216
71003,81163
71004,83048
71005,88039
72001,73499
72002,83267
72003,86562
72004,80894
72005,87876
73001,93498
73002,76321
73003,74446
73004,77948
74001,109071
74002,100206
74003,88200
74004,88827
74005,101794
74006,81399
75001,84562
75002,74767
75003,73188
75004,72974
75005,79349
75006,80908
75007,80258
75008,85265
75009,70810
75010,70250
75011,73057
75012,75821
75013,78195
75014,76056
75015,79102
75016,75126
75017,62130
75018,70682
76001,66671
76002,95300
76003,70115
76004,87114
76005,95163
76006,109820
76007,86787
76008,65773
76009,95656
76010,110309
77001,71930
77002,79921
77003,77042
77004,88822
77005,88335
77006,81556
77007,87842
77008,95166
77009,86229
77010,81495
77011,66511
78001,83335
78002,86497
78003,83434
78004,80154
78005,75643
78006,75944
78007,80638
78008,74522
78009,92968
78010,91538
78011,69371
78012,71167
79001,90920
79002,98304
79003,84875
80001,84040
80002,77978
80003,82597
80004,85122
80005,81341
81001,85123
81002,109859
81003,104170
82001,93013
82002,96323
83001,72255
83002,92500
83003,104073
83004,112386
83005,101735
83006,127507
83007,105182
83008,109161
84001,73765
84002,85827
84003,78866
84004,90403
84005,84400
85001,118646
85002,112160
85003,135251
85004,102676
85005,84108
86001,80577
86002,79489
86003,72977
86004,73869
87001,84294
87002,98167
87003,82045
88001,76767
88002,72545
88003,63940
88004,65296
89001,75757
89002,73470
89003,89720
90001,47752
90002,46494
91001,73470
91002,91937
91003,98710
91004,98705
91005,68453
91006,83238
91007,73537
91008,75975
91009,78732
91010,61820
92001,65819
92002,69729
92003,82668
92004,80977
92005,75570
92006,76259
92007,87915
92008,68035
92009,63445
92010,79526
92011,70778
92012,93383
92013,90055
93001,67235
93002,55145
93003,75652
93004,65100
93005,65222
93006,58095
93007,80662
93008,61629
93009,73725
93010,69231
93011,63403
93012,65408
94001,85131
94002,66102
94003,74029
94004,74044
94005,90274
94006,82107
94007,66243
94008,78513
94009,54153
94010,67111
94011,64976
95001,82729
95002,78157
95003,94585
95004,75579
95005,69259
95006,75335
95007,69364
95008,54509
95009,70489
95010,67935
ZA001,75975
ZA002,87775
ZA003,84348
ZA004,68262
ZB001,80041
ZB002,80054
ZB003,60508
ZB004,83958
ZC001,56997
ZC002,46473
ZD001,85903
ZD002,98956
ZD003,96212
ZD004,108931
ZD005,87696
ZD006,82020
ZD007,118245
ZS001,5053
ZM001,42834
ZM002,49775
ZX001,24563
ZW001,9592
ZP001,72176
ZP002,67226
ZP003,66895
ZN001,96919
ZN002,122243
ZZ001,240978
ZZ002,75610
ZZ003,148639
ZZ004,148196
ZZ005,105049
ZZ006,149821
ZZ007,123409
ZZ008,131219
ZZ009,120556
ZZ010,104303
ZZ011,98853
