CodCirc2,DIV,DSV,DVC,DVD,DVG,DXG,ENS,LR,NUP,REG,RN,UDI
59014,0,0,0,0,0,0,1,0,0,0,2,0
59015,0,0,0,0,0,0,0,0,2,0,1,0
59016,0,0,0,0,0,0,0,0,2,0,1,0
59017,0,0,0,0,0,0,2,0,0,0,1,0
59018,0,0,0,0,0,0,0,0,0,0,2,1
59019,0,0,0,0,0,0,0,0,2,0,1,0
59020,0,0,0,0,0,0,0,0,1,0,2,0
59021,0,0,0,1,0,0,0,0,0,0,2,0
60001,0,0,0,0,0,0,0,1,0,0,2,0
60002,0,0,0,0,0,0,2,0,0,0,1,0
60003,0,0,0,0,0,0,0,0,2,0,1,0
60004,0,0,0,0,0,0,1,0,0,0,2,0
60005,0,0,0,0,0,0,0,1,0,0,2,0
60006,0,0,0,0,0,0,2,0,0,0,1,0
60007,0,0,0,0,0,0,0,1,2,0,0,0
61001,0,0,0,0,0,0,2,0,1,0,0,0
61002,0,0,0,0,0,0,0,1,0,0,2,0
61003,0,0,0,0,0,0,0,1,0,0,2,0
62001,0,0,0,0,0,0,2,0,0,0,1,0
62002,0,0,0,0,0,0,1,0,0,0,2,0
62003,0,0,0,0,0,0,0,0,1,0,2,0
62004,0,0,0,0,0,0,1,0,0,0,2,0
62005,0,0,0,0,0,0,1,0,0,0,2,0
62006,0,0,0,0,0,0,2,0,0,0,1,0
62007,0,0,0,0,0,0,0,1,0,0,2,0
62008,0,0,0,0,1,0,0,0,0,0,2,0
62009,0,0,0,0,0,0,2,0,0,0,1,0
62010,0,0,0,0,0,0,2,0,0,0,1,0
62011,0,0,0,0,0,0,0,0,2,0,1,0
62012,0,0,0,0,0,0,0,0,2,0,1,0
63001,0,0,0,0,0,0,2,0,1,0,0,0
63002,0,0,0,0,0,0,2,0,1,0,0,0
63003,0,0,0,0,0,0,1,0,2,0,0,0
63004,0,0,0,0,0,0,1,0,2,0,0,0
63005,0,0,0,0,0,0,0,0,1,0,2,0
64001,0,0,0,0,0,0,1,0,2,0,0,0
64002,0,0,0,0,0,0,1,0,2,0,0,0
64003,0,0,0,0,1,0,0,0,2,0,0,0
64004,0,0,0,0,0,0,2,0,1,0,0,0
64005,0,0,0,0,0,0,1,0,2,0,0,0
64006,0,0,0,0,0,0,1,0,2,0,0,0
65001,0,0,0,0,0,0,2,0,1,0,0,0
65002,0,0,0,0,0,0,1,0,2,0,0,0
66001,0,0,0,0,0,0,2,0,0,0,1,0
66002,0,0,0,0,0,0,2,0,0,0,1,0
66003,0,0,0,0,0,0,0,0,2,0,1,0
66004,0,0,0,0,0,0,2,0,0,0,1,0
67001,0,0,0,0,0,0,2,0,1,0,0,0
67002,0,0,0,0,0,0,2,0,1,0,0,0
67003,0,0,0,0,0,0,1,0,2,0,0,0
67004,0,0,0,0,0,0,1,0,2,0,0,0
67005,0,0,0,0,0,0,1,0,0,0,2,0
67006,0,0,0,0,0,0,1,0,0,0,2,0
67007,0,0,0,0,0,0,0,1,0,0,2,0
67008,0,0,0,0,0,0,1,0,0,0,2,0
67009,0,0,0,0,0,0,1,0,0,0,2,0
68001,0,0,0,0,0,0,1,2,0,0,0,0
68002,0,0,0,0,0,0,1,2,0,0,0,0
68003,0,0,0,0,0,0,1,0,0,0,2,0
68004,0,0,0,0,0,0,0,1,0,0,2,0
68005,0,0,0,0,0,0,1,0,2,0,0,0
68006,0,0,0,0,0,0,1,0,0,0,2,0
69001,0,0,0,0,0,0,1,0,2,0,0,0
69002,0,0,0,0,0,0,2,0,1,0,0,0
69003,0,0,0,0,0,0,2,0,1,0,0,0
69004,0,0,0,0,0,0,1,0,2,0,0,0
69005,0,0,0,0,0,0,1,0,2,0,0,0
69006,0,0,0,0,0,0,2,0,1,0,0,0
69007,0,0,0,0,0,0,0,1,2,0,0,0
69008,0,0,0,0,0,0,2,1,0,0,0,0
69009,0,0,0,0,0,0,2,1,0,0,0,0
69010,0,0,0,0,0,0,1,0,2,0,0,0
69011,0,0,0,0,0,0,1,0,2,0,0,0
69012,0,0,0,0,0,0,1,0,2,0,0,0
69013,0,0,0,0,0,0,1,0,2,0,0,0
69014,0,0,0,0,0,0,2,0,1,0,0,0
70001,0,0,0,0,0,0,2,0,0,0,1,0
70002,0,0,0,0,0,0,2,0,0,0,1,0
71001,0,0,0,0,0,0,1,0,2,0,0,0
71002,0,0,0,0,0,0,0,1,2,0,0,0
71003,0,0,0,0,0,0,1,0,0,0,2,0
71004,0,0,0,0,0,0,0,0,1,0,2,0
71005,0,0,0,0,0,0,1,0,2,0,0,0
72001,0,0,0,0,0,0,1,0,2,0,0,0
72002,0,0,0,0,0,0,0,0,1,0,2,0
72003,0,0,0,0,0,0,1,0,0,0,2,0
72004,0,0,0,0,0,0,0,0,1,0,2,0
72005,0,0,0,0,0,0,1,0,0,0,2,0
73001,0,0,0,0,0,0,1,0,2,0,0,0
73002,0,0,0,0,0,0,0,1,2,0,0,0
73003,0,0,0,0,0,0,0,1,2,0,0,0
73004,0,0,0,0,0,0,2,0,1,0,0,0
74001,0,0,0,0,0,0,1,0,2,0,0,0
74002,0,0,0,0,0,0,1,0,2,0,0,0
74003,0,0,0,0,0,0,0,1,2,0,0,0
74004,0,0,0,0,0,0,0,1,2,0,0,0
74005,0,0,0,0,0,0,1,0,2,0,0,0
74006,0,0,0,0,0,0,1,0,0,0,2,0
75001,0,0,0,0,0,0,1,0,2,0,0,0
75002,0,0,0,0,0,0,1,0,2,0,0,0
75003,0,0,0,0,0,0,1,0,2,0,0,0
75004,0,0,0,0,0,0,1,2,0,0,0,0
75005,0,0,0,0,0,0,2,0,1,0,0,0
75006,0,0,0,0,0,0,0,0,1,0,0,0
75007,0,0,0,0,0,0,1,0,2,0,0,0
75008,0,0,0,0,0,0,2,0,1,0,0,0
75009,0,0,0,0,0,0,2,0,1,0,0,0
75010,0,0,0,0,0,0,2,0,1,0,0,0
75011,0,0,0,0,0,0,1,0,2,0,0,0
75012,0,0,0,0,0,0,1,0,2,0,0,0
75013,0,0,0,0,0,0,1,0,2,0,0,0
75014,0,0,0,0,0,0,1,2,0,0,0,0
75015,0,0,0,0,2,0,0,0,1,0,0,0
75016,0,0,0,0,0,0,0,0,1,0,0,0
75017,0,0,0,0,0,0,0,0,1,0,0,0
75018,0,0,0,0,0,0,2,0,1,0,0,0
76001,0,0,0,0,0,0,1,0,2,0,0,0
76002,0,0,0,0,0,0,1,0,2,0,0,0
76003,0,0,0,0,0,0,0,0,1,0,2,0
76004,0,0,0,0,0,0,0,0,1,0,2,0
76005,0,0,0,0,0,0,0,0,1,0,2,0
76006,0,0,0,0,0,0,0,0,1,0,2,0
76007,0,0,0,0,0,0,1,0,2,0,0,0
76008,0,0,0,0,0,0,2,0,1,0,0,0
76009,0,0,0,0,0,0,1,0,0,0,2,0
76010,0,0,0,0,0,0,1,0,0,0,2,0
77001,0,0,0,0,0,0,1,0,2,0,0,0
77002,0,0,0,0,0,0,1,0,2,0,0,0
77003,0,0,0,0,0,0,0,1,2,0,0,0
77004,0,0,0,0,0,0,0,1,0,0,2,0
77005,0,0,0,0,0,0,1,0,0,0,2,0
77006,0,0,0,0,0,0,0,0,2,0,1,0
77007,0,0,0,0,0,0,0,0,1,0,2,0
77008,0,0,0,0,0,0,1,0,2,0,0,0
77009,0,0,0,0,0,0,1,0,2,0,0,0
77010,0,0,0,0,0,0,2,0,1,0,0,0
77011,0,0,0,0,0,0,2,0,1,0,0,0
78001,0,0,0,0,0,0,1,0,2,0,0,0
78002,0,0,0,0,0,0,1,0,2,0,0,0
78003,0,0,0,0,0,0,1,0,2,0,0,0
78004,0,0,0,0,0,0,1,0,2,0,0,0
78005,0,0,0,0,0,0,1,0,2,0,0,0
78006,0,0,0,0,0,0,1,0,2,0,0,0
78007,0,0,0,0,0,0,1,0,2,0,0,0
78008,0,0,0,0,0,0,2,0,1,0,0,0
78009,0,0,0,0,0,0,1,0,0,0,2,0
78010,0,0,0,0,0,0,1,0,2,0,0,0
78011,0,0,0,0,0,0,2,0,1,0,0,0
78012,0,0,0,0,0,0,1,0,2,0,0,0
79001,0,0,0,0,0,0,1,0,2,0,0,0
79002,0,0,0,0,0,0,2,0,1,0,0,0
79003,0,0,0,0,0,0,1,0,2,0,0,0
80001,0,0,0,0,0,0,0,0,1,0,2,0
80002,0,0,0,0,0,0,1,0,2,0,0,0
80003,0,0,0,0,0,0,0,1,0,0,2,0
80004,0,0,0,0,0,0,2,0,0,0,1,0
80005,0,0,0,0,0,0,0,0,2,0,1,0
81001,0,0,0,0,0,0,0,0,2,0,1,0
81002,0,0,0,0,0,0,2,0,1,0,3,0
81003,0,0,0,0,0,0,1,0,2,0,0,0
82001,0,0,0,0,0,0,0,0,1,0,2,0
82002,0,0,0,0,0,0,2,0,0,0,1,0
83001,0,0,0,0,0,0,1,0,0,0,2,0
83002,0,0,0,0,0,0,2,0,0,0,1,0
83003,0,0,0,0,0,0,2,0,0,0,1,0
83004,0,0,0,0,0,0,2,0,0,0,1,0
83005,0,0,0,0,0,0,2,0,0,0,1,0
83006,0,0,0,0,0,0,2,0,0,0,1,0
83007,0,0,0,0,0,0,2,0,0,0,1,0
83008,0,0,0,0,0,0,2,0,0,0,1,0
84001,0,0,0,0,0,0,0,0,2,0,1,0
84002,0,0,0,0,0,0,2,0,0,0,1,0
84003,0,0,0,0,0,0,2,0,0,0,1,0
84004,0,0,0,0,0,0,2,0,0,0,1,0
84005,0,0,0,0,0,0,1,0,0,0,2,0
85001,0,0,0,0,0,0,1,0,2,0,0,0
85002,0,0,0,0,0,0,1,0,2,0,0,0
85003,0,0,0,0,0,0,1,0,0,0,2,0
85004,0,0,0,1,0,0,2,0,0,0,0,0
85005,0,0,0,0,0,0,1,0,0,0,2,0
86001,0,0,0,0,0,0,2,0,1,0,0,0
86002,0,0,0,0,0,0,1,0,2,0,0,0
86003,0,0,0,0,0,0,1,0,0,0,2,0
86004,0,0,0,0,0,0,1,0,0,0,2,0
87001,0,0,0,0,0,0,2,0,1,0,0,0
87002,0,0,0,0,0,0,0,0,1,0,2,0
87003,0,0,0,0,0,0,2,0,1,0,0,0
88001,0,0,0,0,0,0,0,1,0,0,2,0
88002,0,0,0,0,0,0,1,0,0,0,2,0
88003,0,0,0,1,0,0,0,0,0,0,2,0
88004,0,0,0,0,0,0,0,1,0,0,2,0
89001,0,0,0,0,0,0,0,0,2,0,1,0
89002,0,0,0,0,0,0,1,0,0,0,2,0
89003,0,0,0,0,0,0,2,0,0,0,1,0
90001,0,0,0,0,0,0,0,1,0,0,2,0
90002,0,0,0,0,0,0,0,0,1,0,2,0
91001,0,0,0,0,0,0,2,0,1,0,0,0
91002,0,0,0,0,0,0,0,0,2,0,1,0
91003,0,0,0,0,0,0,1,0,2,0,0,0
91004,0,0,0,0,0,0,1,0,2,0,0,0
91005,0,0,0,0,0,0,1,0,2,0,0,0
91006,0,0,0,0,0,0,2,0,1,0,0,0
91007,0,0,0,0,0,0,1,0,2,0,0,0
91008,0,1,0,0,0,0,0,0,2,0,0,0
91009,0,0,0,0,0,0,1,0,2,0,0,0
91010,0,0,0,0,0,0,2,0,1,0,0,0
92001,0,0,0,0,0,0,2,0,1,0,0,0
92002,0,0,0,0,0,0,2,3,1,0,0,0
92003,0,0,0,0,0,0,2,1,3,0,0,0
92004,0,0,0,0,0,0,2,0,1,0,0,0
92005,0,0,0,0,0,0,1,0,2,0,0,0
92006,0,0,0,0,0,0,1,0,2,0,0,0
92007,0,0,0,0,0,0,1,0,2,0,0,0
92008,0,0,0,0,0,0,1,0,2,0,0,0
92009,0,0,0,0,0,0,1,2,0,0,0,0
92010,0,0,0,0,0,0,1,0,2,0,0,0
92011,0,0,0,0,0,0,2,0,1,0,0,0
92012,0,0,0,0,0,0,1,0,2,0,0,0
92013,0,0,0,0,0,0,1,0,2,0,0,0
93001,0,0,0,0,0,0,2,0,1,0,0,0
93002,0,0,0,0,0,0,2,0,1,0,0,0
93003,0,0,0,0,0,0,2,0,1,0,0,0
93004,0,0,0,0,0,0,0,0,1,0,0,0
93005,0,0,0,0,0,0,0,0,1,0,0,2
93006,0,0,0,0,0,0,2,0,1,0,0,0
93007,0,0,0,0,0,0,0,0,1,0,0,0
93008,0,0,0,0,0,0,2,0,1,0,0,0
93009,0,0,0,0,0,0,2,0,1,0,0,0
93010,0,0,0,0,0,0,0,2,1,0,0,0
93011,0,0,0,0,0,0,0,0,1,0,0,0
93012,0,0,0,0,0,0,2,0,1,0,0,0
94001,0,0,0,0,0,0,1,0,2,0,0,0
94002,0,0,0,0,0,0,2,0,1,0,0,0
94003,0,0,0,0,0,0,2,0,1,0,0,0
94004,0,0,0,0,0,0,1,0,2,0,0,0
94005,0,0,0,0,0,0,1,0,2,0,0,0
94006,0,0,0,0,0,0,1,0,2,0,0,0
94007,0,0,0,0,0,0,2,0,1,0,0,0
94008,0,0,0,0,0,0,0,1,2,0,0,0
94009,0,0,0,0,0,0,2,0,1,0,0,0
94010,0,0,0,0,0,0,2,0,1,0,0,0
94011,0,0,0,0,0,0,2,0,1,0,0,0
95001,0,0,0,0,0,0,1,0,2,0,0,0
95002,0,0,0,0,0,0,1,0,2,0,0,0
95003,0,0,0,0,0,0,1,0,2,0,0,0
95004,0,0,0,0,0,0,1,0,2,0,0,0
95005,0,0,0,0,0,0,2,0,1,0,0,0
95006,0,0,0,0,0,0,1,0,2,0,0,0
95007,0,0,0,0,0,0,1,0,2,0,0,0
95008,0,0,0,0,0,0,2,0,1,0,0,0
95009,0,0,0,0,0,0,0,0,1,0,2,0
95010,0,0,0,0,0,0,2,0,1,0,0,0
ZA001,0,0,0,0,1,0,0,0,0,0,0,0
ZA002,0,0,0,0,1,0,2,0,0,0,0,0
ZA003,0,0,0,0,1,0,0,0,0,0,2,0
ZA004,0,0,0,0,1,0,0,0,0,0,0,0
ZB001,0,0,0,0,1,0,0,0,0,2,0,0
ZB002,0,0,0,0,0,0,0,0,0,1,0,0
ZB003,0,0,0,0,1,0,0,0,0,2,0,0
ZB004,0,0,0,0,0,0,0,0,0,1,0,0
ZC001,0,0,0,0,0,0,0,0,0,1,0,0
ZC002,0,0,0,0,1,0,2,0,0,0,0,0
ZD001,0,0,0,2,1,0,0,0,0,0,0,0
ZD002,0,0,0,0,1,0,0,0,0,0,0,2
ZD003,0,0,0,1,0,0,0,0,0,0,0,0
ZD004,0,0,0,0,1,0,0,2,0,0,0,0
ZD005,0,0,0,0,1,0,0,0,0,0,0,0
ZD006,0,0,0,0,1,2,0,0,0,0,0,0
ZD007,0,0,2,0,1,0,0,0,0,0,0,0
ZM001,1,0,0,0,0,0,0,0,0,0,0,0
ZM002,0,0,2,0,0,0,0,1,0,0,0,0
ZN001,0,0,0,0,0,0,1,0,0,2,0,0
ZN002,0,0,0,0,0,0,1,0,0,2,0,0
ZP001,0,0,0,0,0,0,2,0,0,1,0,0
ZP002,0,0,0,0,0,0,2,0,0,1,0,0
ZP003,0,0,0,0,0,0,2,0,0,1,0,0
ZS001,0,0,0,1,2,0,0,0,0,0,0,0
ZW001,0,0,1,0,0,0,0,0,0,0,0,0
ZX001,0,0,1,2,0,0,0,0,0,0,0,0
ZZ001,0,0,0,0,0,0,1,0,2,0,0,0
ZZ002,0,0,0,0,0,0,1,0,2,0,0,0
ZZ003,0,0,0,0,0,0,1,0,2,0,0,0
ZZ004,0,0,0,0,0,0,1,0,2,0,0,0
ZZ005,0,0,1,0,0,0,0,0,2,0,0,0
ZZ006,0,0,0,0,0,0,1,0,2,0,0,0
ZZ007,0,0,0,0,0,0,1,0,2,0,0,0
ZZ008,0,0,0,0,0,0,2,0,0,0,0,1
ZZ009,0,0,0,0,0,0,2,0,1,0,0,0
ZZ010,0,0,0,0,0,0,1,0,2,0,0,0
ZZ011,0,0,0,0,0,0,1,0,2,0,0,0
