CodCirc,COM,DIV,DSV,DVC,DVD,DVG,ECO,ENS,EXD,EXG,FI,HOR,LR,RDG,REC,REG,RN,SOC,UDI,UG,UXD,VEC
0101,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0102,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False
0103,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0104,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0105,False,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False
0201,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
0202,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False
0203,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
0204,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False
0205,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0301,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False
0302,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
0303,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0401,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False
0402,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False
0501,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0502,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
0601,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False
0602,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,True,False,False,True,False,False
0603,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False
0604,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
0605,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False
0606,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0607,False,True,False,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
0608,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0609,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False
0701,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
0702,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False
0703,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,True,True,False,False,True,False,False
0801,False,True,False,False,False,False,True,True,True,True,False,False,True,False,False,False,True,False,False,True,False,False
0802,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
0803,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
0901,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
0902,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
1001,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
1002,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
1003,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
1101,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,True,True,False,False,True,False,False
1102,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,True,True,False,False,True,False,False
1103,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False
1201,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
1202,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
1203,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False
1301,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
1302,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
1303,False,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
1304,False,True,False,False,False,True,True,True,False,True,False,False,True,False,True,True,True,False,False,True,False,False
1305,False,True,False,False,False,True,True,True,False,True,False,False,True,False,True,True,True,False,False,True,False,False
1306,False,True,False,True,True,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,False
1307,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
1308,False,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
1309,False,True,False,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
1310,False,True,False,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
1311,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
1312,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
1313,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
1314,False,False,True,False,True,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False
1315,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
1316,False,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
1401,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
1402,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
1403,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
1404,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
1405,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
1406,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
1501,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False
1502,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
1601,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False,True,False,False
1602,False,False,False,False,False,False,True,True,True,True,False,False,True,False,True,False,False,False,False,True,True,False
1603,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,True,False,False
1701,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False
1702,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
1703,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
1704,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
1705,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False
1801,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False
1802,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
1803,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
1901,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False
1902,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
2101,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
2102,False,False,True,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
2103,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False
2104,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
2105,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
2201,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
2202,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False
2203,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False
2204,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
2205,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
2301,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False
2401,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
2402,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
2403,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
2404,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
2501,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False
2502,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
2503,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2504,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
2505,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
2601,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
2602,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
2603,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False
2604,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
2701,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
2702,False,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
2703,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
2704,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
2705,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
2801,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
2802,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
2803,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False
2804,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False
2901,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
2902,False,False,False,True,False,False,True,True,True,True,False,False,True,False,True,False,True,False,False,True,False,False
2903,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,True,False,False
2904,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
2905,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False
2906,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
2907,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False
2908,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
2A01,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False
2A02,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False
2B01,False,False,True,True,False,False,False,False,False,True,True,False,False,False,True,True,True,False,False,False,False,False
2B02,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True
3001,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
3002,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False
3003,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False
3004,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
3005,False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,True,False
3006,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False
3101,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
3102,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
3103,False,False,False,True,True,True,True,True,False,True,False,False,True,False,True,True,True,False,False,True,False,False
3104,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
3105,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,True,False,False
3106,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
3107,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False
3108,False,False,True,True,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
3109,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
3110,False,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
3201,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,True,False,False,True,False,False
3202,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False
3301,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
3302,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,False,True,False,False
3303,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
3304,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
3305,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
3306,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
3307,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
3308,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
3309,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
3310,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
3311,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
3312,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
3401,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False
3402,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False
3403,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
3404,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
3405,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
3406,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
3407,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
3408,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
3409,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False
3501,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False
3502,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
3503,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False
3504,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
3505,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
3506,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
3507,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
3508,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False
3601,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
3602,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
3701,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
3702,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
3703,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False
3704,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
3705,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
3801,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False
3802,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
3803,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False
3804,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False
3805,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
3806,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
3807,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
3808,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False
3809,False,True,False,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False
3810,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
3901,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
3902,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False
